Model,Price,Date,Link
2012 Honda Civic LX,7995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-lx/1516787603
LX|CVT|Bluetooth|Backup cam|Heated Seats,16489.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/lx-cvt-bluetooth-backup-cam-heated-seats/1516062431
2020 Honda Civic Sedan LX,21868.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-honda-civic-sedan-lx/1524746564
2016 Honda HR-V EX-L w/Navi | BACKUP CAMERA | SUNROOF | LEATHER,19855.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-hr-v-ex-l-w-navi-backup-camera-sunroof-leather/1525540320
2019 Honda Civic Sport CVT,23000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2019-honda-civic-sport-cvt/1535088800
Used 2005 Honda Civic for Sale,3800.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/used-2005-honda-civic-for-sale/1537534054
2006 Honda Civic,1400.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2006-honda-civic/1537558247
2012 Honda Civic Sedan LX at,8995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-sedan-lx-at/1537551510
hond civic 4 door,1500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/hond-civic-4-door/1537544998
2018 Honda Civic Sedan Touring CVT,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-honda-civic-sedan-touring-cvt/1537540050
LOOKING TO TRADE MY MINT HONDA CIVIC SI FOR A SLED ATV TRUCK SUV,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/looking-to-trade-my-mint-honda-civic-si-for-a-sled-atv-truck-suv/1537520734
2010 honda civic,1200.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2010-honda-civic/1537518051
"2013 Honda Civic lx 48,000km",11250.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2013-honda-civic-lx-48-000km/1537509173
Best Honda civic ever,6500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/best-honda-civic-ever/1537507574
Honda civic 2011 for sale,4500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/honda-civic-2011-for-sale/1537505054
2018 Ralley Red Civic Type R 6speed,38000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-ralley-red-civic-type-r-6speed/1537494935
2016 Honda Civic Sedan LX Auto,12995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-civic-sedan-lx-auto/1535218488
2010 Honda Civic,9000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2010-honda-civic/1537480105
2016 Honda Civic Sedan LX,15177.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-civic-sedan-lx/1533899793
2011 Honda Civic EX-L,5300.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2011-honda-civic-ex-l/1521375478
Honda Civic 2007,2000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/honda-civic-2007/1537476188
2012 Honda Civic EX,9600.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-ex/1536795061
2009 Honda Civic DX-G,3995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2009-honda-civic-dx-g/1531556380
2007 Honda Civic,1999.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2007-honda-civic/1537459024
2012 HONDA CIVIC /AUTO/MINT COND/86KM/CERTIFIED +WARRANTY $8995,8995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-auto-mint-cond-86km-certified-warranty-8995/1525775667
"Wanted:
                            Looking For ANY Honda Vehicle - Will Pay More Than Scrap Prices",-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/looking-for-any-honda-vehicle-will-pay-more-than-scrap-prices/1537425792
2006 Honda Civic,1000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2006-honda-civic/1537447060
2003 civic for sale,1500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2003-civic-for-sale/1537440862
Car for Sale. 2008 Honda Civic,4400.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/car-for-sale-2008-honda-civic/1537433721
Honda civic 2003,2800.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/honda-civic-2003/1537426349
LOOKING FOR A HONDA CIVIC / ACCORD/ RSX / TSX / CSX,5000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/looking-for-a-honda-civic-accord-rsx-tsx-csx/1528016634
2014 Honda Civic Sedan EX,9995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2014-honda-civic-sedan-ex/1532876901
LOOKING TO BUY A TOYOTA / KIA / HYUNDAI / HONDA - TOP DOLLAR,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/looking-to-buy-a-toyota-kia-hyundai-honda-top-dollar/1527997279
Honda Civic 2008,2500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/honda-civic-2008/1537418745
2015 Honda Civic Sedan 4dr Auto EX,12295.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2015-honda-civic-sedan-4dr-auto-ex/1528882615
2010 HONDA CIVIC WITH SUNROOF,3000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2010-honda-civic-with-sunroof/1537411943
Honda Civic 2018 Hatchback Touring Lease Take over,410.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/honda-civic-2018-hatchback-touring-lease-take-over/1537411180
2013 HONDA CIVIC TOURING LEATHER LOWKMS WINTER TIRES 11500OBO,11500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2013-honda-civic-touring-leather-lowkms-winter-tires-11500obo/1537408087
2003 Honda Civic,2100.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2003-honda-civic/1537400906
2010 Honda Civic,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2010-honda-civic/1537399376
2016 Honda Civic Sedan EX-T Auto A\C Cam,14995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-civic-sedan-ex-t-auto-a-c-cam/1510855108
2015 Honda Civic Coupe EX-L Auto A\C Cam Toit,12995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-honda-civic-coupe-ex-l-auto-a-c-cam-toit/1521593852
Honda Civic EX with Honda Sensing,17000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/honda-civic-ex-with-honda-sensing/1537396101
2016 Honda Civic EX-T | Safety Group,16998.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-civic-ex-t-safety-group/1532935368
Honda Civic 2007,1000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/honda-civic-2007/1537333804
2020 Mini Countryman John Cooper Works,43995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-mini-countryman-john-cooper-works/1534855134
2016 Mini Cooper Clubman Panoroof Leather Sport Harman KeyGo 17,15980.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2016-mini-cooper-clubman-panoroof-leather-sport-harman-keygo-17/1527980399
2013 Mini Cooper Hardtop S,12995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2013-mini-cooper-hardtop-s/1533536119
2016 Mini Cooper Clubman Cooper,16995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-clubman-cooper/1533536120
2016 MINI Cooper Hardtop Base  -  Bluetooth,15495.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-hardtop-base-bluetooth/1533133465
2016 Mini Cooper Hardtop 5 Door S LEATHER SUNROOF S LEATHER SUNR,17988.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2016-mini-cooper-hardtop-5-door-s-leather-sunroof-s-leather-sunr/1536741576
"2013 Mini Cooper Countryman S, ALL4, HEATED SEATS, PANORAMIC SUN",10988.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2013-mini-cooper-countryman-s-all4-heated-seats-panoramic-sun/1537130166
2012 Mini Cooper S Coupé,12500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-mini-cooper-s-coupe/1537436383
Mini Cooper 2010,5300.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/mini-cooper-2010/1537388944
2015 Mini 3 Door Cooper S MANUAL | PANO ROOF | BLUETOOTH | A/...,16999.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-mini-3-door-cooper-s-manual-pano-roof-bluetooth-a/1518474737
"Belle Mini Cooper S 2004 , a VENDRE ou a ÉCHANGER ou PLUS ...",1700.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/belle-mini-cooper-s-2004-a-vendre-ou-a-echanger-ou-plus/1537369917
2016 Mini Cooper Hardtop,16995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-hardtop/1531553619
Mini cooper,-1,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/mini-cooper/1537335109
2009 Mini Cooper 154000 KM,3000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2009-mini-cooper-154000-km/1537279065
2016 Mini Cooper Countryman John Cooper Works,25995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-countryman-john-cooper-works/1529146486
2015 Mini 3 Door COOPER | LEATHER| PANO ROOF,15568.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-mini-3-door-cooper-leather-pano-roof/1531809680
2018 Mini Countryman Cooper S | BACKUP CAMERA | LOW KMS | KEYLES,28995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-mini-countryman-cooper-s-backup-camera-low-kms-keyles/1537169540
Mini,5000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/mini/1537131071
2009 MINI Cooper S,4900.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2009-mini-cooper-s/1536094677
2016 Mini 3 Door Cooper,16452.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-3-door-cooper/1534143087
2012 Mini Cooper S coupe,13900.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-mini-cooper-s-coupe/1536812433
2007 Mini Cooper,3200.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2007-mini-cooper/1536766858
2013 Mini Cooper,7900.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2013-mini-cooper/1536732635
2010 mini cooper s fun car **4000$$$,3950.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2010-mini-cooper-s-fun-car-4000/1523097326
Mini Cooper 2009 in perfect condition for sale!!,4500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/mini-cooper-2009-in-perfect-condition-for-sale/1536674625
Mini cooper,6700.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/mini-cooper/1536575530
2017 Mini Cooper Hardtop 5 Door S,22495.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2017-mini-cooper-hardtop-5-door-s/1519035953
2016 Mini Cooper 3 DOOR,14880.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-3-door/1535016468
2014 Mini Cooper Paceman S | KEYLESS ENTRY | BLUETOOTH | SUNROOF,13999.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2014-mini-cooper-paceman-s-keyless-entry-bluetooth-sunroof/1536425021
2016 Mini Cooper Hardtop,15995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-hardtop/1524872028
2009 Mini Cooper Clubman S / With Safety,5995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2009-mini-cooper-clubman-s-with-safety/1536367608
Mini cooper 2004,3000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/mini-cooper-2004/1536214054
"2012 MINI COOPER  COUNTRYMAN ""S"" ALL4, Ready for Winter!",9995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-mini-cooper-countryman-s-all4-ready-for-winter/1536021396
2012 Mini Cooper Countryman All-S,9500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-mini-cooper-countryman-all-s/1533940961
2016 Mini Cooper Hardtop,16995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-mini-cooper-hardtop/1529676535
vente mini cooper,2800.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/vente-mini-cooper/1535324645
2011 MINI Cooper Basic,4995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2011-mini-cooper-basic/m46209
2020 Mini 5 Door Cooper,26995.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-mini-5-door-cooper/1534855132
2020 Mini Countryman Cooper,30495.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-mini-countryman-cooper/1523316688
2013 John Coooper Works,23500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2013-john-coooper-works/1529303048
Mini John Cooper Works,9000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/mini-john-cooper-works/1534610166
2014 Mini Cooper Low KM,11999.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2014-mini-cooper-low-km/1534593544
2015 Honda CR-V Touring | NAVI | LEATHER | SUNROOF |,20999.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2015-honda-cr-v-touring-navi-leather-sunroof/1513854368
2017 Honda Civic Sedan LX | 6 SPD | LOW KMS | BACKUP CAMERA |,15599.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2017-honda-civic-sedan-lx-6-spd-low-kms-backup-camera/1523498978
2019 Honda Civic Sedan LX,19649.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2019-honda-civic-sedan-lx/1520464312
2015 Mini 3 Door Cooper S MANUAL | PANO ROOF | BLUETOOTH | A/...,16999.0,2020/11/24,https://www.kijijiautos.ca/vip/processing/16432151/?utm_source=kijiji&utm_medium=referral&utm_campaign=xpromo_srplisting&utm_content=web_ResultsSearch
2017 Honda CIVIC EX 2WD,16595.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/hamilton/2017-honda-civic-ex-2wd/1533132074
2016 Honda Civic Sedan Touring | NAVI | LEATHER | SUNROOF |,17333.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-civic-sedan-touring-navi-leather-sunroof/1515295900
2016 Honda Civic Sedan LX,14249.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-civic-sedan-lx/1527075234
honda civic 2008 coupe,2000.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/honda-civic-2008-coupe/1536863863
2017 Honda Civic Sedan LX  - Bluetooth - Rear camera - Heated Se,17500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-honda-civic-sedan-lx-bluetooth-rear-camera-heated-se/1521953966
2016 Honda CR-V EX | SUNROOF | BACKUP CAMERA | PUSH BUTTON START,20999.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-honda-cr-v-ex-sunroof-backup-camera-push-button-start/1516593157
2012 Honda Civic - Manual 121km (Safety Certified),5699.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2012-honda-civic-manual-121km-safety-certified/1534606445
2018 Honda Civic Sedan Touring CVT,-1,2020/11/24,null?utm_source=kijiji&utm_medium=referral&utm_campaign=xpromo_srplisting&utm_content=web_ResultsSearch
2015 Honda Civic Sedan EX,12494.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/muskoka/2015-honda-civic-sedan-ex/1530981911
2017 Honda Civic Sedan EX-T |1 OWNER | SUNROOF | BACKUP CAMERA |,16677.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2017-honda-civic-sedan-ex-t-1-owner-sunroof-backup-camera/1517917847
2018 Honda CIVIC TOURING 2WD,20950.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-honda-civic-touring-2wd/1524691128
2018 Honda Civic Sedan SE CVT,15810.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2018-honda-civic-sedan-se-cvt/1529677437
2018 Honda Civic Sedan LX -  Bluetooth - Rear Camera - Heated Se,18500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-honda-civic-sedan-lx-bluetooth-rear-camera-heated-se/1494098127
CIVIC EX,11250.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/civic-ex/1536046674
2016 Honda Civic Sedan 1-Owner No-Accidents EX w/Honda Sensing B,15495.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2016-honda-civic-sedan-1-owner-no-accidents-ex-w-honda-sensing-b/1520397131
2016 Honda Civic EX / HONDA CANADA CERTIFIÉ 7 ANS/160KM Sunroof,17896.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/gatineau/2016-honda-civic-ex-honda-canada-certifie-7-ans-160km-sunroof/1530237355
2020 Honda Civic Sedan LX,21880.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-honda-civic-sedan-lx/1524746558
2018 Honda CIVIC EX 2WD,20495.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/hamilton/2018-honda-civic-ex-2wd/1527562954
2017 Honda Civic Sedan LX Air - Power group - Bluetooth - Rear c,16500.0,2020/11/24,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-honda-civic-sedan-lx-air-power-group-bluetooth-rear-c/1515439568
